name,ownerAddress,publicKey
BloxStaking,0x943a1B677da0Ac80F380F08731faE841B1201402,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952
StoshiStakers,0x943a1B677da0Ac80F380F08731faE841B1201402,3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47
VitalikValidators,0x943a1B677da0Ac80F380F08731faE841B1201402,f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e
MergeTwins,0x943a1B677da0Ac80F380F08731faE841B1201402,0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653
CryptoManufaktur,0x59eCf48345A221E0731E785ED79eD40d0A94E2A5,39510f99809eb56cd89882dfbd32aa6190ac8649ff3464b692347a4c70a16e1d
CryptoCom,0xa5cfD290965372553Efd5fDaeB91C335207b76E2,d52798be3e4c6fc17a3f3cacc0cb21a6d78fb2878eadb006f97252ffcab4ef7e
AnonymousGroup,0xa5cfD290965372553Efd5fDaeB91C335207b76E2,c57347c94d4702785594cb7df35dd3957018b94ff808401e056a76e9d2a4161c
ChuckNorrisOperator,0xa5cfD290965372553Efd5fDaeB91C335207b76E2,7f11cfbcb4b93b9e5f99b0d80f7e4475daa2f24ea9b4f344a6d60273faf592b2
Beaconchain,0xa5cfD290965372553Efd5fDaeB91C335207b76E2,dd7346e93560e32390481520cc288beb3a237a3d52614d7deb0c7fa2b1fa6c68
BinanceInc,0xa5cfD290965372553Efd5fDaeB91C335207b76E2,c49764371bb92e58c5c8a6ba957a4128e34915aae91e409616daf28262ebd1de
0xA1EU,0x0f14E34723997e1E1e2B7E3760178c98B22651ab,ae7013c20f5d105268a394b03bce6e8a11ff371927fc9d356cfb48645ce0923c
0xA2EU,0x0f14E34723997e1E1e2B7E3760178c98B22651ab,3e21b3e442f19ff5cd0bf69bc5b5b6fb58d36031f42975d989bb31215e9fd57d
0xA3USEAST,0x0f14E34723997e1E1e2B7E3760178c98B22651ab,d0d6fcc3a94e0c836ad2bd45c4035e62f0f770b5a670c8be6a0b54c88cc4063c
0xA4USEAST,0x0f14E34723997e1E1e2B7E3760178c98B22651ab,fc382aafac6615c1a04ac4adc565300ce23a30bca8ab379527b73f9a121e5a17
0xA5USWEST,0x0f14E34723997e1E1e2B7E3760178c98B22651ab,e400254a9ce650c83e27e7eb23df00616dd96f2d1e6ca17cf353a1e2d5f5982f
0xA6USWEST,0x0f14E34723997e1E1e2B7E3760178c98B22651ab,83ebbd990fce9acf9f47ffadb7c8533daa2cc6ebd32db93c1b675b689f361dba
paulhauner,0xf934A87349051C492216eECC6Bc716EEe45Fe029,ec2d7cc7fd76ae561281e3a8089bd0a3e787c1e2827f1b06217881b140804724
Foundry,0x4aC804537422a3A1F8843FAd4710dD0b4e1e8B0e,d3046f87aea3dc240cf7a1244104d9c43a22639d707e9dfe7090529b9602e731
StakeWise,0xAF8550495DA9AA999E8894fb596426aB2D32cA5c,457061dd4bae243ec476f2d2e9009ecfdfcc55ef3b61cd2545ff26fb5b756671
Allnodes,0xD80B64C73D1F4e7A67bC43b688494c320D0Aa583,913fcb3e96be3f72b203ffa854db08b4fc430cd8d463f0e60f45dfe52ee68b9e
DAppNode,0xF35960302a07022aBa880DFFaEC2Fdd64d5BF1c1,8d10f06f471859655e79dc658e3182a19fdc2dc7bcb61bb58e38a3dfbd625972
Everstake,0x1339E13F50251bC9567ee9B315A8ECF4cD8af4e6,b4377455eff14e53ff2ce05d3d9aa5e9597ef365b971983a6495022cf66204fb
Stakely,0xA6ed1C21933791179c469a830f641341B7c42E48,414888ec53e641b01682f147e6aaf53e4d9c242f3dac3685dd6fac7e08d91383
0NEinfraTEST,0x1b1627B632f774b4B95CFe28eC03d8F9C5847F0B,ef0387437024f540bbbf4261ab6d0fa6255b8404351e3058113a4717ca684b40
RockX,0x00862339A67D51c35027555Dee8C58Ca86DC3AD6,c9dacebb68818239a42d6ca60bcde8bb18da6bccadc7f195ccb585051d937c64
AbsoluteStaking,0x031fC98FB5B78f8C2467c4c5124fC4286D12296F,c0cd9c17f842033db537d720644777649eda249c697eebbc28bfc00062c74ac9
fragment,0xBf58548EB9103AcBA6d7dFDBc6C810D95e860B6C,e6aa77b73b5e9cbd65cb7e1deefe9bf9565b1a4086f0e9bdc29b256145f1a30f
LionStake,0xF35960302a07022aBa880DFFaEC2Fdd64d5BF1c1,149dd80019c66d7374c43a7b432894e71bd1b940e6c6d0503d9682bbc9d47af4
LionStakeSSV,0xF35960302a07022aBa880DFFaEC2Fdd64d5BF1c1,9455e7166fab621ae631b1c2b128aae5898b6df558cfbbece3fc6146418ead1f
stakingcabin,0x0cb403191652bf920A79e56c7cbEd9Ee5d8d6dDf,58486b4bbd1ad19401f7b5e9d90ee6fd124a02ba2d3d068e539e53cf41687711
DAppNodeOperator,0xF35960302a07022aBa880DFFaEC2Fdd64d5BF1c1,ee77b2975db6440a2cd8b4980d2e47a1a1f0929c27af32b89ba232514c8cb2a8
SSVmine,0x4cC54cb2e27d74967831F7AF748Ea793ABA5989c,19402777d7bab3bfb8d047a06789c38dd4dc61c579925661f5bdb6f6a34cec98
beaconchain,0x4cC54cb2e27d74967831F7AF748Ea793ABA5989c,3ad54f9ac9030fda02a0ed2a796bba9fa69a462d74fd7a39ad3e07bdc4b64b66
DelegaNetworksN1,0xee1783D97D54CF878adaacB9cb744D553EB5D33D,1ccee846f174263c3a4f264cf30f09a422efd912627fc96afd695d81b706a8a3
DAppNodemgarciate,0xa33Ff32C48cc7eE58F8d7329FF9Abe3558aB1204,21234ecaf59edca1e694650f653f2c7204bb9612745402f0ff4a88d56696a2f5
DAppNodeLanski,0xcA5720267Fcb7ccA13007AfA096ae01B0864f765,c92074faf7db70e1b8ae8a6c82d4898dd3df80e1360907afcbbe4a0a22381854
tfValidation,0xd36e44EFf4160F78E5088e02Fe8406D7638f73b4,20020a2e215563898b8818a06d2ae7605dbfa1c36e823507feb7bded4f43ee20
Tropicar,0x5E8d37F285d477CC32a8d890E3190fcd65e2a9d0,04f07f5220db9d5cd6a7b7446f66daa447a57b3536ca8f63d365f1d5488b733a
Vortex,0x9f5b5a303d6D75E45D6d6dAed3C3E4D25F8Ec873,7a112635f176fa6179ddc155452baa0ddbd729d61732da4dbcaf5c53a4420a89
duytu,0xF82e8BC7E11A22B5ab835CA25A477203a97BDB16,a6de534b0f8bbabcfee16fc347d0c53e929719bd8fc4efdfd1f58f7c12e1d82d
79anvi,0xd7F6bad6Fc716b889F84a94fEE046188f08988ce,57c80a43e5af11919d6b518f789a5a32096524af084fbc641cf299a43bb12d37
Path2light,0xadD776b7B31863d314e370ac83D7b0C9e79673FD,17f6994ca441d44df2d731cde537f872e9cc71cd28d40483750a037a6d4eafca
Voss,0x95Ed2E550a3A90232ae664312280B908f91C5b07,1560ee927376a005af6d43467e78b7957061f5ac5d5bc56e7e6de6bfccc458da
ddxof,0x6d5EDdEcC7528C5C06b500D5188c13da1885c151,ef351f5b524226310f9459b2ef531b27114b69087cfa0b2419ed71c4904e2037
FerroDappnodeDAO,0xbeE3003A3f80a42E97b867d4A8e9c080f65947A4,ccb29372fbf84dfb726ad6701fbfcf55aee3548059eca8161b3281b4285b9fe1
Stereum,0xA1DDc7ed6E7b9179C68cDEE24a5e47dE930061eE,5c19be65826cc5ff4bc5a9dcf4d6daedc2b5edc03acc8d2a4490be2b032d9fdf
Stereum,0xA1DDc7ed6E7b9179C68cDEE24a5e47dE930061eE,e847d759e443a4ae401ba35ac8bc65f46f8f66e772e614c2defd9673b334c7d2
StereumNET,0xA1DDc7ed6E7b9179C68cDEE24a5e47dE930061eE,9ffd8585049389a8ef712ce9472415288229c2d70fc54c74ea3f3ef3423bd419
anvil,0x1b1627B632f774b4B95CFe28eC03d8F9C5847F0B,302762e55a6d367cde5c6ab6c3174f5d3c1e6de24a60a16b9ab7b42667c00281
BrothersInArm,0xD9baA3a44Ad6f1c10a619a0DB3A4cA75E384d62B,7065f5d4a6672d187e1197d2852e2502f1c21e2cb2cab6af2ea231c404ce55dc
FERRODappnode,0xbeE3003A3f80a42E97b867d4A8e9c080f65947A4,9a0793ea6cc6c3f57056f8f8edb40bd06e1b2927446ec52d3d3e537cf569a340
DAppNodeddxof,0x6d5EDdEcC7528C5C06b500D5188c13da1885c151,4d1e1fde45e6588bb1daf10145e239bc6156e567b1f92525ce0e3c8f33bd61b3
DAppNodeAvaunt,0x60C71D57a2152F1f0cC00b101eF3fb6da2330C0B,5865464f726112848a105aaff13db260a06f586a408c141135a846a8821c7550
DAppNodeVoss,0x95Ed2E550a3A90232ae664312280B908f91C5b07,c4ebe85d0c3245a0880c0de1be6c048b1ce2d23d25e80f389ec09fc34819239e
DappNodeHofgut,0x1216ABe1028608B0EeAAb0635f4C56635F1d69f0,a55c0c2f4ea3a2e78fc7dc8192910be84868cd88523bcf1ab88a8012d54f9c1f
tehllama,0xC483287d7E6D2d5427444b7B5690794D5C886C27,212dae115b5b3d2abb84b9e2e10c8f63576bccace361ce983d46e11ef10f0974
Path2light,0xadD776b7B31863d314e370ac83D7b0C9e79673FD,ba2a66123b27a86e42b4dceb25355926dda26fa2910f3981bc722b36a715fd08
DAppNodeGBeast,0x261F436676cFA456a8F086a850160E97550AEA9C,8fd99e5ef79aadd3fe918674b2639cfa2987caf541fd9c18cad2e2b88a38337a
BARAMIO,0xBAADFaa744694Fc1134bc5D6318c453778c4209F,a573ba211723b58478ae3a4f5ac19dcd283d504034fd9fc0fb0b788a00012798
DAppNodeGBeast,0x261F436676cFA456a8F086a850160E97550AEA9C,79c079a2c2b4996e16d0c899e661f19abede78143669ccc8b621d230d74cb3f9
